sample_id,mode,status,context_length,depth_name,retrieval_correct,peak_memory_gb,tokens_per_second
2048_early_42,dense,completed,2048,early,True,6.473231315612793,3.789219939396326
2048_early_43,dense,completed,2048,early,True,6.473231315612793,4.32269721202522
2048_early_44,dense,completed,2048,early,True,6.473231315612793,4.52424532295189
2048_middle_42,dense,completed,2048,middle,True,6.473231315612793,4.192917094566922
2048_middle_43,dense,completed,2048,middle,True,6.473231315612793,4.422239870724274
2048_middle_44,dense,completed,2048,middle,True,6.473231315612793,4.116951530739557
2048_late_42,dense,completed,2048,late,True,6.473231315612793,4.2887111681531564
2048_late_43,dense,completed,2048,late,True,6.473231315612793,4.132594715747438
2048_late_44,dense,completed,2048,late,True,6.473231315612793,4.166292658357368
4096_early_42,dense,completed,4096,early,True,9.752642631530762,1.7538832533169435
4096_early_43,dense,completed,4096,early,True,9.752642631530762,1.7234713968579498
4096_early_44,dense,completed,4096,early,True,9.752642631530762,1.6650761732444235
4096_middle_42,dense,completed,4096,middle,True,9.752642631530762,1.6212011916278892
4096_middle_43,dense,completed,4096,middle,True,9.752642631530762,1.6498404066581935
4096_middle_44,dense,completed,4096,middle,True,9.752642631530762,1.677071788148416
4096_late_42,dense,completed,4096,late,True,9.752642631530762,1.6508013892002915
4096_late_43,dense,completed,4096,late,True,9.752642631530762,1.6455547118919611
4096_late_44,dense,completed,4096,late,True,9.752642631530762,1.6480400371451778
8192_early_42,dense,out_of_memory,8192,early,False,,
8192_early_43,dense,out_of_memory,8192,early,False,,
8192_early_44,dense,out_of_memory,8192,early,False,,
8192_middle_42,dense,out_of_memory,8192,middle,False,,
8192_middle_43,dense,out_of_memory,8192,middle,False,,
8192_middle_44,dense,out_of_memory,8192,middle,False,,
8192_late_42,dense,out_of_memory,8192,late,False,,
8192_late_43,dense,out_of_memory,8192,late,False,,
8192_late_44,dense,out_of_memory,8192,late,False,,
2048_early_42,streaming,completed,2048,early,False,5.645144939422607,5.774665049008117
2048_early_43,streaming,completed,2048,early,False,5.645144939422607,5.856713200348056
