context_length,depth_name,mode,samples,retrieval_accuracy,retrieval_accuracy_percent
2048,early,dense,3,1.0,100.0
2048,early,hybrid,3,0.6666666666666666,66.66666666666666
2048,early,streaming,3,0.0,0.0
2048,late,dense,3,1.0,100.0
2048,late,hybrid,3,1.0,100.0
2048,late,streaming,3,0.0,0.0
2048,middle,dense,3,1.0,100.0
2048,middle,hybrid,3,0.6666666666666666,66.66666666666666
2048,middle,streaming,3,0.0,0.0
4096,early,dense,3,1.0,100.0
4096,early,hybrid,3,1.0,100.0
4096,early,streaming,3,0.0,0.0
4096,late,dense,3,1.0,100.0
4096,late,hybrid,3,1.0,100.0
4096,late,streaming,3,0.0,0.0
4096,middle,dense,3,1.0,100.0
4096,middle,hybrid,3,0.6666666666666666,66.66666666666666
4096,middle,streaming,3,0.0,0.0
8192,early,hybrid,3,0.6666666666666666,66.66666666666666
8192,early,streaming,3,0.0,0.0
8192,late,hybrid,3,0.6666666666666666,66.66666666666666
8192,late,streaming,3,0.0,0.0
8192,middle,hybrid,3,0.6666666666666666,66.66666666666666
8192,middle,streaming,3,0.0,0.0
