sample_id,target_context_length,actual_context_length,depth_name,depth_fraction,reference_value
2048_early_42,2048,2048,early,0.1,BTRQJGF5
2048_early_43,2048,2048,early,0.1,UK7ZG79B
2048_early_44,2048,2048,early,0.1,HM2QUBQH
2048_middle_42,2048,2048,middle,0.5,BTRQJGF5
2048_middle_43,2048,2048,middle,0.5,UK7ZG79B
2048_middle_44,2048,2048,middle,0.5,HM2QUBQH
2048_late_42,2048,2048,late,0.9,BTRQJGF5
2048_late_43,2048,2048,late,0.9,UK7ZG79B
2048_late_44,2048,2048,late,0.9,HM2QUBQH
4096_early_42,4096,4096,early,0.1,BTRQJGF5
4096_early_43,4096,4096,early,0.1,UK7ZG79B
4096_early_44,4096,4096,early,0.1,HM2QUBQH
4096_middle_42,4096,4096,middle,0.5,BTRQJGF5
4096_middle_43,4096,4096,middle,0.5,UK7ZG79B
4096_middle_44,4096,4096,middle,0.5,HM2QUBQH
4096_late_42,4096,4096,late,0.9,BTRQJGF5
4096_late_43,4096,4096,late,0.9,UK7ZG79B
4096_late_44,4096,4096,late,0.9,HM2QUBQH
8192_early_42,8192,8192,early,0.1,BTRQJGF5
8192_early_43,8192,8192,early,0.1,UK7ZG79B
8192_early_44,8192,8192,early,0.1,HM2QUBQH
8192_middle_42,8192,8192,middle,0.5,BTRQJGF5
8192_middle_43,8192,8192,middle,0.5,UK7ZG79B
8192_middle_44,8192,8192,middle,0.5,HM2QUBQH
8192_late_42,8192,8192,late,0.9,BTRQJGF5
8192_late_43,8192,8192,late,0.9,UK7ZG79B
8192_late_44,8192,8192,late,0.9,HM2QUBQH
